ResponseID,taskIndex,taskIdentifier,isMin,selectedValue,selectedIndex,timeLeft,timeTaken,startTime,endTime,qTaskIndex,qSelectedIndex
R_3iqmbHfiMEl1138,0,J,false,62,8,5,11550,1673129744398,1673129755948,41,81
R_3iqmbHfiMEl1138,1,K,false,54,26,4,1543,1673129756368,1673129757911,42,99
R_3iqmbHfiMEl1138,2,E,false,85,26,4,1297,1673129758329,1673129759626,36,99
R_3iqmbHfiMEl1138,3,B,false,90,26,4,2736,1673129760041,1673129762777,33,99
R_3iqmbHfiMEl1138,4,A,false,51,26,4,2589,1673129763187,1673129765776,32,99
R_3iqmbHfiMEl1138,5,L,false,23,26,3,1388,1673129766190,1673129767578,43,99
R_3iqmbHfiMEl1138,6,I,false,16,35,2,11533,1673129767995,1673129779528,40,108
R_3iqmbHfiMEl1138,7,H,true,13,12,2,4102,1673129779942,1673129784044,39,85
R_3iqmbHfiMEl1138,8,C,true,1,35,1,3800,1673129784462,1673129788262,34,108
R_3iqmbHfiMEl1138,9,D,true,11,28,1,4249,1673129788679,1673129792928,35,101
R_3iqmbHfiMEl1138,10,F,false,84,2,0,10334,1673129793345,1673129803679,37,75
R_3iqmbHfiMEl1138,11,G,false,22,26,0,1986,1673129804093,1673129806079,38,99
